ngram,predict,gt
The,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
King,False,False
King Wu,False,False
Wu,False,True
The,False,False
Xirang,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Yiyang,False,False
Shangdang,False,False
Nanyang,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
King,False,False
King Xiao,False,False
Xiao,False,True
Feizi,False,True
Daluo,False,True
Marquis,False,False
Marquis Shen,False,False
Shen,True,True
Daluo,False,True
The,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Xianyang,False,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
Qin,False,False
Wei,False,False
Master,False,False
Master Zhang,False,False
Master Zhang Lu,False,False
Zhang,False,False
Zhang Lu,False,True
He,False,False
The,False,False
Qin,False,False
I,False,False
I,False,False
King,True,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
BC,False,False
Chu,False,False
Yan,False,False
Ying,False,True
King,False,False
King Huai,False,False
Huai,False,True
Chu,False,False
Qin,True,False
Qin,False,False
Qi,False,False
King,False,False
King Min,False,False
Min,False,True
Qi,False,False
Qin,False,False
Three,False,False
Three Jin,False,False
Jin,False,False
Hann,False,False
Wei,False,False
Zhao,False,False
I,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Yiyang,False,False
King,False,False
King Xiang,False,False
Xiang,False,False
Hann,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Qin,False,False
Qin,False,False
King,False,False
King Wu,False,False
Wu,False,True
Zhou,False,False
He,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
The,True,False
The Western,True,False
The Western Rong,False,False
Western,False,False
Western Rong,False,False
Rong,False,False
Daluo,False,True
Dog,False,False
Dog Hill,False,False
Hill,False,False
King,False,False
King Xuan,False,False
Xuan,False,True
Zhou,False,False
Qin,False,False
Qin Zhong,False,True
Zhong,False,False
Western,False,False
Western Rong,False,False
Rong,False,False
Qin,False,False
Qin Zhong,False,True
Zhong,False,False
Rong,False,False
Words,False,False
I,False,False
I,False,False
I,False,False
I,False,False
Your,True,False
Your Majesty,True,False
Majesty,False,False
I,False,False
I,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
I,False,False
I,False,False
I,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Wang,False,False
Wang Ji,False,True
Ji,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Fan,False,False
Fan Ju,False,True
Ju,True,False
The,False,False
The King,False,False
King,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Chu,False,False
Hann,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Gan,False,False
Gan Mou,True,True
Mou,False,False
Hann,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
King,False,False
King Zhaoxiang,True,False
Zhaoxiang,True,True
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Qin,False,False
Hann,False,False
Chu,False,False
Hann,True,False
Yongshi,False,False
Qin,False,False
Yao,False,False
Yao Pass,False,False
Pass,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,True,False
Hann,False,False
Gongshu,False,True
Hann,False,False
Chu,False,False
Chu,False,False
Hann,False,False
Wei,False,False
Qin,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Qin,False,False
I,False,False
Qin,False,False
Queen,False,False
Queen Dowager,False,False
Dowager,False,False
Rang,False,True
He,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Fan,False,False
Fan Ju,False,True
Ju,False,False
Fan,False,False
Fan Ju,True,True
Ju,True,False
I,False,False
I,False,False
Yiqu,True,False
Queen,False,False
Queen Dowager,False,False
Dowager,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
Chu,False,False
Chu,False,False
Qin,False,False
Xiang,True,False
Xiang Shou,False,True
Shou,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
Yiyang,False,False
Qin,False,False
Hann,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Hann,False,False
Su,False,False
Su Dai,False,False
Dai,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
An,False,False
Hann,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Gongzhong,False,False
Gongzhong Chi,False,True
Chi,False,False
Qin,False,False
Qin,True,False
Rong,False,False
I,False,False
He,False,False
Rong,False,False
Duke,False,False
Duke Xiang,False,False
Xiang,False,True
Duke,False,False
Duke Xiang,False,False
Xiang,False,True
Yiqu,True,False
I,False,False
I,False,False
I,False,False
Su,False,False
Su Dai,False,True
Dai,False,False
I,False,False
People,False,False
Qin,False,False
Gongsun,True,False
Gongsun Shi,False,True
Shi,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Qin,False,False
Gongsun,False,False
Gongsun Shi,False,True
Shi,False,False
Hann,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Wei,False,False
I,False,False
I,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
Wusui,False,False
Hann,False,False
Su,False,False
Su Dai,False,True
Dai,False,False
Qin,False,False
Chu,False,False
Yingchuan,False,False
Hann,False,False
Hann,False,False
Chu,False,False
Chu,False,False
Hann,False,False
Chu,False,False
Hann,False,False
Qin,False,False
Qin,False,False
Chu,False,False
Chu,False,False
Hann,True,False
Qin,True,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Qin,False,False
It,True,False
I,False,False
I,False,False
I,False,False
I,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
I,False,False
Sages,False,False
Five,False,False
Five Emperors,False,False
Emperors,False,False
Three,False,False
Three Dynasties,False,False
Dynasties,False,False
Five,False,False
Five Hegemons,False,False
Hegemons,True,False
Wu,False,False
Wu Huo,False,True
Huo,True,False
Ren,False,False
Ren Bi,False,True
Bi,False,False
Cheng,False,False
Cheng Jing,False,True
Jing,True,False
Meng,False,False
Meng Ben,False,True
Ben,False,False
Prince,False,False
Prince Qingji,True,False
Qingji,False,True
Xia,False,False
Xia Yu,False,True
Yu,False,False
Death,False,False
I,False,False
Qin,False,False
Su,False,False
Su Dai,False,True
Dai,False,False
Qin,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Qin,True,False
Yao,False,False
Yao Pass,False,False
Pass,False,False
Devil,False,False
Devil Valley,False,False
Valley,False,False
Qi,False,False
Hann,False,False
Wei,False,False
Qin,False,False
Qin,False,False
Wu,False,False
Wu Zixu,False,True
Zixu,False,False
Zhao,False,False
Zhao Pass,False,False
Pass,False,False
Ling,False,False
Ling River,True,False
River,False,False
He,True,False
Wu,False,False
Wu,False,False
King,False,False
King Helv,False,False
Helv,False,True
I,False,False
Wu,False,False
Wu Zixu,False,True
Zixu,False,False
I,False,False
Su,False,False
Su Dai,False,True
Dai,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
Acacia,False,False
Acacia Valley,False,False
Valley,False,False
Duke,False,False
Duke Ning,False,False
Ning,False,True
Pingyang,False,False
He,False,False
Dangshe,False,False
Hao,False,True
Dangshe,False,False
Hao,True,True
Rong,False,False
Dangshe,False,False
Hui,False,True
Lu,False,False
Duke,False,False
Duke Yin,False,False
Yin,False,True
Duke,False,False
Duke Ning,False,False
Ning,False,True
Dang,False,False
Duke,False,False
Duke Ning,False,False
Ning,False,True
Western,False,False
Western Mountain,False,False
Mountain,False,False
Queen,False,False
Queen Dowager,False,False
Dowager,False,False
I,False,False
Fan,False,False
Fan Ju,True,True
Ju,False,False
Qin,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
Sweet,False,False
Sweet Springs,False,False
Springs,False,False
Valley,True,False
Valley Mouth,False,False
Mouth,False,False
Long,False,False
Shu,False,False
Hangu,False,False
Hangu Pass,False,False
Pass,False,False
Shang,False,False
Slope.151,False,False
It,False,False
Your,False,False
Qin,False,False
Hanlu,False,False
Qin,True,False
Su,False,False
Su Dai,False,True
Dai,False,False
King,False,False
King Min,False,False
Min,False,False
Qi,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Qin,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
I,False,False
Duke,False,False
Duke Ning,False,False
Ning,False,True
Fuji,False,False
Weilei,False,False
Sanfu,False,True
Chuzi,False,True
Chuzi,False,True
Sanfu,False,True
Chuzi,False,True
Chuzi,False,True
Sanfu,False,True
Duke,False,False
Duke Wu,False,False
Wu,False,True
Gan,False,False
Gan Mou,False,True
Mou,True,False
Qi,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Qi,False,False
Wu,False,True
Rong,False,False
Gui,False,True
Ji,False,True
Du,True,False
Zheng,False,False
Xiaoguo,False,True
Fan,False,False
Fan Ju,False,True
Ju,False,False
The,False,False
I,False,False
He,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Fan,False,False
Fan Ju,False,True
Ju,True,False
Wan,False,False
Wei,False,False
Huai,False,True
Xingqiu,False,True
The,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
The,True,False
Qin,False,False
Hann,False,False
Hann,False,False
Qin,False,False
Qin,False,False
Hann,False,False
Your,True,False
Your Majesty,False,False
Majesty,False,False
Hann,False,False
That,False,False
Fan,False,False
Fan Yuan,False,True
Yuan,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
I,False,False
Hann,False,False
Hann,False,False
I,False,False
Fan,False,False
Fan Ju,True,True
Ju,True,False
Hann,False,False
Xingyang,True,True
Gong,False,False
Chenggao,False,False
Taihang,False,False
Taihang Mountains,False,False
Mountains,False,False
Shangdang,False,False
Xingyang,False,True
Hann,False,False
Hann,False,False
Hann,False,False
Hann,True,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
I,False,False
I,False,False
Tian,False,False
Tian Wen,False,False
Wen,False,True
Qi,False,False
I,False,False
Qi,False,False
I,False,False
Queen,False,False
Queen Dowager,False,False
Dowager,False,False
Rang,False,True
Huayang,False,True
Gaoling,False,True
Jingyang,False,True
Qin,False,False
I,False,False
Qin,False,False
Duke,False,False
Duke De,False,False
De,False,True
Your,False,False
Your Majesty,False,False
Majesty,True,False
Yue,False,False
Qi,False,False
It,False,False
Qin,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
Xiang,True,False
Xiang Shou,True,True
Shou,False,False
Qin,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
Xiang,False,False
Xiang Shou,False,True
Shou,False,False
Qin,False,False
Chu,False,False
Duke,False,False
Duke Cheng,False,False
Cheng,False,True
Liang,False,True
Rui,False,True
Qin,False,False
Qin Court,False,False
Court,False,False
Duke,False,False
Duke Huan,True,False
Huan,False,True
Qi,False,False
Mountain,False,False
Mountain Rong,False,False
Rong,False,False
Guzhu,False,False
Duke,False,False
Duke Cheng,True,False
Cheng,False,True
He,False,False
Duke,False,False
Duke Cheng,False,False
Cheng,False,True
Duke,False,False
Duke Mu,False,False
Mu,False,True
Gan,False,False
Gan Mou,False,True
Mou,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Lv,False,False
Lv Buwei,False,True
Buwei,True,False
Wenxin,False,False
Qin,True,False
The,False,False
The First,False,False
The First Emperor,False,False
First,False,False
First Emperor,False,False
Emperor,False,False
Qin,True,False
Cai,False,False
Cai Ze,False,True
Ze,False,False
Gangcheng,False,False
Yan,False,False
King,False,False
King Xi,False,False
Xi,False,True
Yan,False,False
Qin,False,False
Qin,False,False
Zhang,False,False
Zhang Tang,False,True
Tang,False,False
Yan,False,False
Yan,False,False
Qin,False,False
Zhao,False,False
Yellow,False,False
Yellow River,False,False
River,False,False
Zhang,False,False
Zhang River,False,False
River,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Duke,False,False
Duke Xian,False,False
Xian,False,True
Jin,False,False
Yu,False,False
Guo,False,False
Yu,False,False
Baili,False,False
Baili Xi,False,True
He,True,False
Yu,False,False
Baili,False,False
Baili Xi,False,True
Xi,False,False
Qin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Wei,False,False
Qin,False,False
Hann,False,False
Wei,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Qin,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Shu,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
I,False,False
I,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
I,False,False
I,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Xu,False,False
Xu Jia,False,True
Jia,True,False
Qin,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Yiwu,False,True
Qin,False,False
Qin,True,False
Jin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Baili,False,False
Baili Xi,False,True
Xi,False,False
Yiwu,False,True
Jin,False,False
Fan,False,False
Fan Shu,False,True
Shu,False,False
The,False,False
Xu,False,False
Xu Jia,True,True
Jia,False,False
Lord,False,False
Lord Zhang,False,False
Zhang,False,True
Gan,True,False
Gan Luo,False,True
Luo,False,False
Qin,False,False
Ying135,False,False
Wenxin,False,False
Pi,False,False
Pi Zheng,False,True
Zheng,False,False
Duke,False,False
Duke Mu,True,False
Mu,False,True
The,False,False
Jin,False,False
Yiwu,False,True
The,False,False
Chonger,True,True
Qin,False,False
Li,False,False
Li Ke,False,True
Ke,False,False
Lv,False,True
Lv Sheng,False,True
Sheng,False,False
Xi,False,True
Xi Rui,False,True
Rui,False,False
I,False,False
Lv,False,True
Xi,False,True
Chonger,False,True
Jin,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
I,False,False
I,False,False
I,False,False
I,False,False
I,False,False
Hu,False,False
My,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Fan,True,False
Fan Ju,False,True
Ju,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Xu,False,False
Xu Jia,False,True
Jia,False,False
Wei,False,False
Xu,False,False
Xu Jia,False,True
Jia,False,False
Wei,False,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
Zhao,False,False
Lord,False,False
Lord Pingyuan,False,False
Pingyuan,False,True
Zhao,False,False
Lv,True,False
Lv Buwei,True,True
Buwei,False,False
First,False,False
First Emperor,False,False
Emperor,False,False
The,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
He,False,False
Zhang,False,False
Zhang Tang,False,True
Tang,False,False
Yan,True,False
Gan,False,False
Gan Luo,False,True
Luo,False,False
I,True,False
Zhao,False,False
Zhao,False,False
Duke,False,False
Duke Mu,False,False
Mu,True,True
It,False,False
Mt.,False,False
Qi,False,False
The,False,False
The Qin,False,False
Qin,False,False
Duke,False,False
Duke Mu,True,False
Mu,False,True
A,False,False
I,False,False
He,False,False
Qin,False,False
Jin,False,False
They,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Jin,False,False
Qin,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Wang,False,False
Wang Ji,False,True
Ji,False,False
Hedong,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Zheng,False,False
Zheng Anping,False,True
Anping,True,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Wei,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Persons,True,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Yiwu,False,True
Jin,False,False
I,False,False
I,False,False
Your,False,False
Your Majesty,False,False
Majesty,False,False
Zhang,True,False
Zhang Tang,False,True
Tang,False,False
Yan,False,False
Long,False,False
Long Pingyuan,False,False
Pingyuan,False,True
Wei,False,False
Wei Qi,False,True
Qi,False,False
I,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Duke,False,False
Duke Huan,False,False
Huan,True,True
Qi,False,False
Qin,False,False
Liang,False,False
Rui,False,False
King,False,False
King Zhaoxiang,True,False
Zhaoxiang,False,True
Zhao,False,False
Your,True,False
Qin,False,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
Lord,False,False
Lord Fan,True,False
Fan,False,False
Lord,True,False
Lord Pingyuan,False,False
Pingyuan,False,True
Zhao,False,False
You,False,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
I,False,False
Zhao,False,False
I,False,False
Hangu,True,False
Hangu Pass,False,False
Pass,False,False
King,False,False
King Xiaocheng,False,False
Xiaocheng,False,True
Zhao,False,False
Lord,False,False
Lord Pingyuan,False,False
Pingyuan,False,True
Wei,True,False
Wei Qi,False,True
Qi,False,False
Zhao,False,False
Yu,False,False
Yu Qing,False,True
Qing,False,False
Yu,False,False
Yu Qing,False,True
Qing,False,False
Zhao,False,False
Zhao,True,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
Shuli,False,False
Shuli Zi,False,True
Zi,False,False
Qin,False,False
Gan,False,False
Gan Mou,False,True
Mou,False,False
Xiacai,False,False
Qi,False,False
Chu,False,False
Gan,False,False
Gan Luo,False,True
Luo,False,False
Warring,False,False
Warring States,False,False
States,True,False
Qin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Duke,False,False
Duke Wen,False,False
Wen,False,True
Jin,False,False
Chu,False,False
Chengpu,False,False
Lord,False,False
Lord Xinling,False,False
Xinling,False,True
Wei,False,False
Wei Qi,False,True
Qi,False,False
Lord,False,False
Lord Xinling,False,False
Xinling,False,True
The,False,False
Zhao,False,False
Wei,False,False
Wei Qi,False,True
Qi,False,False
Qin,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Qin,False,False
Lord,False,False
Lord Pingyuan,False,False
Pingyuan,False,True
Zhao,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Duke,False,False
Duke Wen,False,False
Wen,False,True
Jin,False,False
Zheng,False,False
Zheng,False,False
Duke,False,False
Duke Mu,True,False
Mu,False,True
Zheng,False,False
Jin,False,False
Jin,False,False
Qin,False,False
The,False,False
Jin,False,False
Qin,False,False
Duke,False,False
Duke Mu,False,False
Mu,True,True
Qin,False,False
Jin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Duke,False,False
Duke Wen,False,False
Wen,False,True
Jin,False,False
Some,False,False
Zheng,False,False
Zheng,False,False
Jin,False,False
We,False,False
Zheng,False,False
Qin,False,False
Zheng,False,False
Zheng Anping,False,True
Anping,False,False
Fan,False,False
Fan Ju,False,True
Ju,False,False
Wei,False,False
Zhao,False,False
Zheng,False,False
Zheng Anping,False,True
Anping,False,False
Zhao,True,False
Zhao,False,False
Fan,True,False
Fan Ju,False,True
Ju,False,False
Ying,False,True
Qin,False,False
It,False,False
Ying,False,True
Lv,False,False
Lv Buwei,False,True
Buwei,False,False
Handan,False,False
Zhao,False,False
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
I,False,False
Chu,False,False
I,False,False
Chu,False,False
Qin,False,False
Lord,False,False
Lord Wuan,False,False
Wuan,False,True
Zheng,False,False
Zheng Anping,False,True
Anping,False,False
I,False,False
He,False,False
Zichu,False,True
I,False,False
The,False,False
Duke,False,False
Duke Wen,False,False
Wen,False,True
Jin,False,False
Qin,False,False
The,False,False
Duke,False,False
Duke Mu,False,False
I,False,False
Qin,False,False
Qin,False,False
The,False,False
The Jin,False,False
Jin,False,False
Qin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
I,False,False
Baili,False,False
Baili Xi,False,True
Xi,True,False
Jian,False,False
Jian Shu,False,True
Shu,False,False
What,False,False
I,False,False
He,False,False
The,False,False
Rong,False,False
You,False,False
Yu,False,False
Qin,False,False
You,False,False
You Yu,False,True
Yu,False,False
Jin,False,False
Jin,False,False
Rong,False,False
You,False,False
You Yu,False,True
Yu,False,False
Jin,False,False
The,False,False
The Rong,False,False
Rong,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
You,False,False
You Yu,False,True
Yu,False,False
Qin,False,False
Tang,False,False
Tang Ju,True,True
Ju,False,False
Cai,False,False
Cai Ze,False,True
Ze,False,False
Later,False,False
Later Cai,False,False
Later Cai Ze,False,False
Cai,False,False
Cai Ze,False,True
Ze,False,False
I,False,False
Cai,False,False
Cai Ze,False,True
Ze,False,False
Zhao,False,False
He,False,False
Hann,False,False
Wei,False,False
He,False,False
Ying,False,True
Zheng,False,False
Zheng Anping,False,True
Anping,False,False
Wang,False,False
Wang Ji,False,True
Ji,False,False
Qin,False,False
Ying,False,True
Cai,False,False
Cai Ze,True,True
Ze,True,False
Qin,False,False
Zichu,False,True
I,False,False
You,False,False
You Yu,False,True
Yu,False,False
It,False,False
China,False,False
Yellow,False,False
Yellow Emperor,False,False
Emperor,False,False
Lv,True,False
Lv Buwei,False,True
Buwei,False,False
You,False,False
You,False,False
I,False,False
I,False,False
Qin,False,False
I,False,False
Lord,False,False
Lord Anguo,False,False
Anguo,False,True
Lady,True,False
Lady Huayang,False,False
Huayang,False,True
Cai,False,False
Cai Ze,False,True
Ze,False,False
Cai,False,False
Cai Ze,False,True
Ze,False,False
Way,False,False
Lv,False,False
Lv Buwei,False,True
Buwei,False,False
Zichu,False,True
Qin,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
You,False,False
You Yu,True,True
Yu,True,False
Rong,False,False
Rong,True,False
The,True,False
The Rong,False,False
Rong,False,False
Qin,False,False
You,False,False
Yu,False,False
Lady,False,False
Lady Huayang,False,False
Huayang,False,True
Lady,True,False
Lady Huayang,False,False
Huayang,False,True
He,False,False
Her,False,False
Her Ladyship,False,False
Ladyship,False,False
Heaven,False,False
Lady,False,False
Lady Huayang,False,False
Huayang,False,True
Lady,False,False
Lady Huayang,False,False
Huayang,False,True
Wu,False,False
Wu Qi,False,True
Qi,False,False
King,False,False
King Dao,False,False
Dao,False,True
Chu,False,False
His,False,False
Danger,False,False
Lady,False,False
Lady Huayang,False,False
Huayang,False,True
Zichu,False,True
Zhao,False,False
I,False,False
I,False,False
Zichu,False,True
I,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
You,False,False
You Yu,False,True
Yu,False,False
Rong,False,False
Western,False,False
Western Rong,False,False
Rong,False,False
The,False,False
The Son,False,False
Son,False,False
Heaven,False,False
Guo,False,False
Duke,False,False
Shao,False,False
Duke,False,False
Duke Mu,False,False
Mu,False,True
Wei,False,False
Wei Zi,False,True
Zi,False,False
Confucius,False,False
Guan,True,False
Guan Zhong,False,True
Zhong,False,False
The,False,False
Ying,False,True
King,False,False
King Zhaoxiang,False,False
Zhaoxiang,False,True
Qin,False,False
Wang,False,False
Wang Yi,False,False
Yi,False,False
Handan,False,False
Zhao,False,False
Zichu,False,True
Zichu,False,True
Lv,True,False
Lv Buwei,False,True
Buwei,False,False
Zichu,True,True
Qin,False,False
The,False,False
Zhao,False,False
Zichu,False,True
Zhao,True,False
